,game_id,home_team_id
0,1821049,32
1,1821052,13
2,1821054,31
3,1821050,165
4,1821055,23
5,1821056,174
6,1821057,29
7,1821058,189
8,1821051,15
9,1821053,14
10,1821060,24
11,1821061,211
12,1821062,162
13,1821063,170
14,1821065,167
15,1821066,18
16,1821067,30
17,1821059,183
18,1821064,26
19,1821068,161
20,1821069,13
21,1821071,189
22,1821074,31
23,1821075,165
24,1821076,14
25,1821077,174
26,1821078,29
27,1821073,15
28,1821070,32
29,1821072,23
30,1821079,24
31,1821080,183
32,1821082,211
33,1821084,162
34,1821087,170
35,1821088,26
36,1821085,167
37,1821081,18
38,1821083,30
39,1821086,161
40,1821089,24
41,1821093,162
42,1821092,170
43,1821094,14
44,1821095,26
45,1821097,18
46,1821090,30
47,1821098,29
48,1821091,211
49,1821096,167
50,1821100,13
51,1821101,189
52,1821102,15
53,1821104,31
54,1821105,23
55,1821107,174
56,1821108,161
57,1821103,165
58,1821106,32
59,1821099,183
60,1821109,13
61,1821112,189
62,1821115,162
63,1821111,31
64,1821116,14
65,1821117,167
66,1821118,29
67,1821110,24
68,1821113,211
69,1821114,15
70,1821129,183
71,1821131,170
72,1821133,165
73,1821140,32
74,1821143,23
75,1821149,18
76,1821151,30
77,1821136,26
78,1821153,161
79,1821146,174
80,1821209,14
81,1821190,24
82,1821193,189
83,1821195,211
84,1821203,31
85,1821214,167
86,1821189,13
87,1821197,15
88,1821201,162
89,1821218,29
90,1821249,183
91,1821252,165
92,1821253,26
93,1821251,23
94,1821255,174
95,1821256,18
96,1821258,161
97,1821254,32
98,1821257,30
99,1821250,170
100,1821259,189
101,1821260,211
102,1821264,162
103,1821266,26
104,1821273,29
105,1821275,161
106,1821262,15
107,1821268,32
108,1821261,174
109,1821271,30
110,1821321,13
111,1821323,24
112,1821319,183
113,1821322,31
114,1821324,170
115,1821326,14
116,1821327,167
117,1821325,165
118,1821328,18
119,1821320,23
120,1821205,211
121,1821199,189
122,1821212,162
123,1821222,174
124,1821226,29
125,1821228,161
126,1821207,15
127,1821216,26
128,1821220,32
129,1821224,30
130,1821239,165
131,1821241,14
132,1821232,13
133,1821234,24
134,1821235,31
135,1821243,167
136,1821245,23
137,1821246,18
138,1821230,183
139,1821237,170
140,1821247,24
141,1821248,189
142,1821191,162
143,1821200,32
144,1821194,170
145,1821196,165
146,1821198,14
147,1821202,30
148,1821204,29
149,1821208,13
150,1821213,26
151,1821217,23
152,1821219,174
153,1821223,161
154,1821210,211
155,1821211,15
156,1821215,167
157,1821221,18
158,1821206,183
159,1821225,24
160,1821227,189
161,1821229,162
162,1821236,165
163,1821244,29
164,1821231,31
165,1821233,170
166,1821238,14
167,1821240,32
168,1821242,30
169,1821263,183
170,1821269,15
171,1821270,26
172,1821272,167
173,1821274,23
174,1821276,174
175,1821277,18
176,1821278,161
177,1821265,13
178,1821267,211
179,1821281,162
180,1821282,31
181,1821283,170
182,1821293,14
183,1821295,30
184,1821296,29
185,1821279,24
186,1821284,165
187,1821294,32
188,1821280,189
189,1821298,24
190,1821297,183
191,1821299,211
192,1821300,162
193,1821303,167
194,1821304,18
195,1821305,30
196,1821301,170
197,1821302,26
198,1821306,161
199,1821308,189
200,1821314,15
201,1821312,174
202,1821313,29
203,1821307,13
204,1821309,31
205,1821311,14
206,1821315,23
207,1821310,165
208,1821316,32
209,1821317,13
210,1821318,189
211,1821288,14
212,1821290,23
213,1821292,29
214,1821286,31
215,1821287,165
216,1821289,32
217,1821291,174
218,1821285,15
219,1821389,183
220,1821393,211
221,1821399,26
222,1821401,167
223,1821403,18
224,1821405,161
225,1821391,24
226,1821395,162
227,1821397,170
228,1821404,30
229,1821406,183
230,1821410,31
231,1821411,165
232,1821413,23
233,1821414,174
234,1821415,161
235,1821407,13
236,1821408,189
237,1821412,32
238,1821409,15
239,1821192,31
240,1821417,211
241,1821416,24
242,1821418,162
243,1821419,170
244,1821420,14
245,1821422,167
246,1821423,18
247,1821425,29
248,1821421,26
249,1821424,30
250,1821396,14
251,1821427,13
252,1821428,24
253,1821426,183
254,1821390,31
255,1821392,170
256,1821394,165
257,1821402,18
258,1821398,167
259,1821400,23
260,1821173,24
261,1821125,211
262,1821138,15
263,1821137,162
264,1821134,161
265,1821122,189
266,1821142,26
267,1821145,32
268,1821128,174
269,1821130,30
270,1821132,29
271,1821147,189
272,1821150,211
273,1821155,162
274,1821157,26
275,1821161,174
276,1821167,161
277,1821152,15
278,1821159,32
279,1821163,30
280,1821165,29
281,1821169,183
282,1821175,31
283,1821179,165
284,1821183,167
285,1821121,18
